R,b,Fij
5.0,28.718592964824122,0.20747906258258322
5.0,28.944723618090453,0.20711937946452522
5.0,29.170854271356784,0.2067434310798954
5.0,29.396984924623116,0.20635094425288936
5.0,29.623115577889447,0.2059416365575179
5.0,29.84924623115578,0.20551521651441784
5.0,30.075376884422113,0.2050713838140766
5.0,30.301507537688444,0.20460982956854815
5.0,30.527638190954775,0.2041302365943008
5.0,30.753768844221106,0.20363227972810952
5.0,30.979899497487438,0.20311562617887502
5.0,31.20603015075377,0.2025799359177906
5.0,31.4321608040201,0.20202486210937629
5.0,31.658291457286435,0.20145005158617113
5.0,31.884422110552766,0.2008551453696339
5.0,32.11055276381909,0.20023977924017564
5.0,32.336683417085425,0.19960358435876813
5.0,32.56281407035176,0.19894618794316005
5.0,32.788944723618094,0.1982672140009649
5.0,33.015075376884425,0.19756628412276064
5.0,33.24120603015076,0.19684301833709125
5.0,33.46733668341709,0.19609703603025108
5.0,33.69346733668342,0.19532795693300764
5.0,33.91959798994975,0.1945354021758899
5.0,34.14572864321608,0.19371899541541976
5.0,34.37185929648241,0.19287836403250141
5.0,34.597989949748744,0.19201314040403994
5.0,34.824120603015075,0.191122963248917
5.0,35.050251256281406,0.19020747904854268
5.0,35.27638190954774,0.18926634354171357
5.0,35.50251256281407,0.18829922329353685
5.0,35.7286432160804,0.18730579733677694
5.0,35.95477386934674,0.18628575888398302
5.0,36.18090452261307,0.18523881710758675
5.0,36.4070351758794,0.184164698984793
5.0,36.63316582914573,0.18306315120278308
5.0,36.85929648241206,0.18193394211949068
5.0,37.085427135678394,0.18077686377325775
5.0,37.311557788944725,0.17959173393521316
5.0,37.537688442211056,0.1783783981956678
5.0,37.76381909547739,0.17713673207572306
5.0,37.98994974874372,0.1758666431539473
5.0,38.21608040201005,0.1745680731970134
5.0,38.44221105527638,0.1732410002819873
5.0,38.66834170854271,0.17188544089683727
5.0,38.89447236180904,0.17050145200542688
5.0,39.120603015075375,0.16908913306121107
5.0,39.34673366834171,0.16764862795406366
5.0,39.572864321608044,0.16618012687314734
5.0,39.798994974874375,0.16468386806861104
5.0,40.02512562814071,0.16316013949411837
5.0,40.25125628140704,0.16160928031189123
5.0,40.47738693467337,0.1600316822419462
5.0,40.7035175879397,0.15842779073696497
5.0,40.92964824120603,0.15679810596506483
5.0,41.15577889447236,0.1551431835822402
5.0,41.381909547738694,0.15346363527813606
5.0,41.608040201005025,0.15176012907900988
5.0,41.834170854271356,0.1500333893931641
5.0,42.06030150753769,0.1482841967858812
5.0,42.28643216080402,0.14651338747246262
5.0,42.51256281407035,0.14472185251981357
5.0,42.73869346733669,0.1429105367499581
5.0,42.96482412060302,0.14108043734053952
5.0,43.19095477386935,0.13923260212041494
5.0,43.41708542713568,0.13736812756141278
5.0,43.64321608040201,0.1354881564699686
5.0,43.869346733668344,0.13359387538563566
5.0,44.095477386934675,0.13168651169647685
5.0,44.321608040201006,0.12976733048410496
5.0,44.54773869346734,0.12783763111490914
5.0,44.77386934673367,0.12589874359597208
5.0,45.0,0.12395202471784332
5.201005025125628,0.0,0.12088436572230446
5.201005025125628,0.22613065326633167,0.12294995390304271
5.201005025125628,0.45226130653266333,0.12501315727469103
5.201005025125628,0.678391959798995,0.1270724493663947
5.201005025125628,0.9045226130653267,0.12912631452136472
5.201005025125628,1.1306532663316584,0.13117325277689043
5.201005025125628,1.35678391959799,0.13321178462675765
5.201005025125628,1.5829145728643217,0.13524045563286852
5.201005025125628,1.8090452261306533,0.13725784085374346
5.201005025125628,2.035175879396985,0.13926254906027533
5.201005025125628,2.261306532663317,0.1412532267121003
5.201005025125628,2.4874371859296485,0.14322856166987746
5.201005025125628,2.71356783919598,0.1451872866232339
5.201005025125628,2.9396984924623117,0.14712818221618926
5.201005025125628,3.1658291457286434,0.14905007985638424
5.201005025125628,3.391959798994975,0.15095186419690385
5.201005025125628,3.6180904522613067,0.1528324752840932
5.201005025125628,3.8442211055276383,0.15469091036721305
5.201005025125628,4.07035175879397,0.15652622536970473
5.201005025125628,4.296482412060302,0.15833753602483316
5.201005025125628,4.522613065326634,0.16012401868154022
5.201005025125628,4.748743718592965,0.16188491078877226
5.201005025125628,4.974874371859297,0.16361951106980924
5.201005025125628,5.201005025125628,0.16532717939946795
5.201005025125628,5.42713567839196,0.16700733639952992
5.201005025125628,5.653266331658291,0.16865946276935637
5.201005025125628,5.8793969849246235,0.17028309836976155
5.201005025125628,6.105527638190955,0.17187784107946963
5.201005025125628,6.331658291457287,0.17344334544435092
5.201005025125628,6.557788944723618,0.1749793211393593
5.201005025125628,6.78391959798995,0.1764855312645856
5.201005025125628,7.010050251256281,0.1779617904955338
5.201005025125628,7.236180904522613,0.17940796310821386
5.201005025125628,7.462311557788945,0.18082396089918923
5.201005025125628,7.688442211055277,0.18220974101940657
5.201005025125628,7.914572864321609,0.18356530374096458
5.201005025125628,8.14070351758794,0.1848906901738726
5.201005025125628,8.366834170854272,0.18618597994992483
5.201005025125628,8.592964824120603,0.18745128888893256
5.201005025125628,8.819095477386934,0.1886867666615323
5.201005025125628,9.045226130653267,0.18989259446252235
5.201005025125628,9.271356783919598,0.19106898270580439
5.201005025125628,9.49748743718593,0.19221616875242548
5.201005025125628,9.72361809045226,0.1933344146810295
5.201005025125628,9.949748743718594,0.19442400510924232
5.201005025125628,10.175879396984925,0.19548524507339055
5.201005025125628,10.402010050251256,0.19651845797259912
5.201005025125628,10.628140703517587,0.19752398358277473
5.201005025125628,10.85427135678392,0.19850217614450058
5.201005025125628,11.080402010050252,0.19945340252812305
5.201005025125628,11.306532663316583,0.2003780404788031
5.201005025125628,11.532663316582916,0.20127647694299503
5.201005025125628,11.758793969849247,0.202149106477424
5.201005025125628,11.984924623115578,0.20299632974084295
5.201005025125628,12.21105527638191,0.20381855206870123
5.201005025125628,12.437185929648242,0.20461618212942057
5.201005025125628,12.663316582914574,0.20538963066166657
5.201005025125628,12.889447236180905,0.20613930929059132
