h,k,d,F
-19.387755102040817,-50.0,30,1.0069013109004455e-06
-19.387755102040817,-50.0,35,1.0055623975139006e-06
-19.387755102040817,-50.0,40,9.869286162816142e-07
-19.387755102040817,-50.0,45,9.576411141764855e-07
-19.387755102040817,-50.0,50,9.219900032338798e-07
-19.387755102040817,-50.0,55,8.828017436922349e-07
-19.387755102040817,-50.0,60,8.419670734920517e-07
-19.387755102040817,-50.0,65,8.007614194793572e-07
-19.387755102040817,-50.0,70,7.600448451758787e-07
-19.387755102040817,-50.0,75,7.203907703869883e-07
-19.387755102040817,-50.0,80,6.821714678890256e-07
-17.346938775510203,-50.0,10,5.282197298299744e-07
-17.346938775510203,-50.0,15,7.739692795715621e-07
-17.346938775510203,-50.0,20,9.178815269196343e-07
-17.346938775510203,-50.0,25,9.908954415674125e-07
-17.346938775510203,-50.0,30,1.0186629401463973e-06
-17.346938775510203,-50.0,35,1.0179523432637858e-06
-17.346938775510203,-50.0,40,9.993862454666138e-07
-17.346938775510203,-50.0,45,9.697614933307088e-07
-17.346938775510203,-50.0,50,9.335074748756921e-07
-17.346938775510203,-50.0,55,8.935609933635037e-07
-17.346938775510203,-50.0,60,8.518938023591454e-07
-17.346938775510203,-50.0,65,8.098374544211811e-07
-17.346938775510203,-50.0,70,7.68288825333179e-07
-17.346938775510203,-50.0,75,7.278439691863435e-07
-17.346938775510203,-50.0,80,6.888877955750137e-07
-15.306122448979593,-50.0,10,5.306843246497711e-07
-15.306122448979593,-50.0,15,7.787729409227555e-07
-15.306122448979593,-50.0,20,9.249814180757035e-07
-15.306122448979593,-50.0,25,9.998453895419958e-07
-15.306122448979593,-50.0,30,1.0288504637401363e-06
-15.306122448979593,-50.0,35,1.0287745414382058e-06
-15.306122448979593,-50.0,40,1.0103412212730915e-06
-15.306122448979593,-50.0,45,9.804761809045996e-07
-15.306122448979593,-50.0,50,9.437301788170721e-07
-15.306122448979593,-50.0,55,9.031394729112746e-07
-15.306122448979593,-50.0,60,8.607506573315059e-07
-15.306122448979593,-50.0,65,8.179481614128989e-07
-15.306122448979593,-50.0,70,7.756641623265459e-07
-15.306122448979593,-50.0,75,7.345168419810148e-07
-15.306122448979593,-50.0,80,6.949038074310156e-07
-13.265306122448976,-50.0,10,5.327132379048249e-07
-13.265306122448976,-50.0,15,7.827625870571638e-07
-13.265306122448976,-50.0,20,9.309370716662852e-07
-13.265306122448976,-50.0,25,1.0074265212076855e-06
-13.265306122448976,-50.0,30,1.0375559443769719e-06
-13.265306122448976,-50.0,35,1.0380913961049702e-06
-13.265306122448976,-50.0,40,1.0198295410670775e-06
-13.265306122448976,-50.0,45,9.89800645351813e-07
-13.265306122448976,-50.0,50,9.52659088284289e-07
-13.265306122448976,-50.0,55,9.115287576300802e-07
-13.265306122448976,-50.0,60,8.685236924950795e-07
-13.265306122448976,-50.0,65,8.250768212209524e-07
-13.265306122448976,-50.0,70,7.821532035749491e-07
-13.265306122448976,-50.0,75,7.40391967475189e-07
-13.265306122448976,-50.0,80,7.002030013680865e-07
-11.224489795918366,-50.0,10,5.343632495572077e-07
-11.224489795918366,-50.0,15,7.860309777338725e-07
-11.224489795918366,-50.0,20,9.35856793816548e-07
-11.224489795918366,-50.0,25,1.0137410012750482e-06
-11.224489795918366,-50.0,30,1.0448617677974665e-06
-11.224489795918366,-50.0,35,1.045960960389358e-06
-11.224489795918366,-50.0,40,1.027886498537365e-06
-11.224489795918366,-50.0,45,9.977518202171328e-07
-11.224489795918366,-50.0,50,9.602977615158894e-07
-11.224489795918366,-50.0,55,9.187234676935806e-07
-11.224489795918366,-50.0,60,8.752020843635812e-07
-11.224489795918366,-50.0,65,8.312097093254691e-07
-11.224489795918366,-50.0,70,7.877410639280582e-07
-11.224489795918366,-50.0,75,7.454544253432028e-07
-11.224489795918366,-50.0,80,7.047711038586077e-07
-9.183673469387756,-50.0,10,5.356787333154943e-07
-9.183673469387756,-50.0,15,7.886522481545851e-07
-9.183673469387756,-50.0,20,9.398294632616087e-07
-9.183673469387756,-50.0,25,1.0188750587584389e-06
-9.183673469387756,-50.0,30,1.0508395130476418e-06
-9.183673469387756,-50.0,35,1.0524352765677909e-06
-9.183673469387756,-50.0,40,1.0345450195111549e-06
-9.183673469387756,-50.0,45,1.0043466971030449e-06
-9.183673469387756,-50.0,50,9.666512663324315e-07
-9.183673469387756,-50.0,55,9.247205015547353e-07
-9.183673469387756,-50.0,60,8.80777614902473e-07
-9.183673469387756,-50.0,65,8.363357648712476e-07
-9.183673469387756,-50.0,70,7.924154256821658e-07
-9.183673469387756,-50.0,75,7.496916848049318e-07
-9.183673469387756,-50.0,80,7.085960161544676e-07
-7.142857142857139,-50.0,10,5.366938545955915e-07
-7.142857142857139,-50.0,15,7.90684528843457e-07
-7.142857142857139,-50.0,20,9.429262952703758e-07
-7.142857142857139,-50.0,25,1.0228993987089277e-06
-7.142857142857139,-50.0,30,1.0555492792787327e-06
-7.142857142857139,-50.0,35,1.057559152443082e-06
